userName,at,content
Rohayati 098,2024-10-27 23:03:13,sangat bagus untuk belajar terutama belajar bahasa jadi saya sangat menyukainya
Asep Sandi,2024-10-27 23:02:33,alhamdulillah aplikasi yang bagus ini kali pertama saya belajar semoga bisa bermanfaat aamiin terima kasih 🙏😊
Yoga Denata,2024-10-27 22:37:33,nh luung monto gen
ca haya,2024-10-27 22:23:42,terimakasih duolingo kami senang belajar berbagai bahasa disini
D Juna.A,2024-10-27 22:12:03,Matematika nya kok kayak tebak tebakan yang nggak ada angka itu gak jelas banget dimohon untuk mengganti dengan baik
Ahmad Fachrudin,2024-10-27 22:10:57,"trimakasih udh bikin ini aplikasi, sehingga saya bisa belajar bhs inggris"
Keyza Revandi,2024-10-27 22:08:14,sangat membantu
Lency Amelta,2024-10-27 21:52:20,AAA SENENG BANGET NILAI BAHASA INGGRIS KU JADI 91 KARENA DUOLINGOO💗😭😭😭
Mang Atan,2024-10-27 21:48:21,bagus sekali
Crab Karimunjawa,2024-10-27 21:22:42,menyenangkan
vinnuke ID,2024-10-27 19:57:38,perbaiki setiap ejaan
Risa,2024-10-27 19:41:43,sangat menyenangkan
Maulana Jambi,2024-10-27 19:40:01,perdana belajar dengan aplikasi duolingo sangat membantu ☺️🙏
AUFAR OFFICIAL,2024-10-27 18:17:43,sangat bagus buat pemula dan yang mau belanjarl
MN_agus ardy suryadiva_tatagraha 2,2024-10-27 17:30:00,keren
One Piece aj,2024-10-27 17:12:03,"duolingo sangat berguna, terkadang banyak kata yang bisa digunakan sehari hari buat saya😻😻😻"
Afifudin Aripijay,2024-10-27 17:09:44,sangat bagus untuk yg mau belajar bahasa Inggris semua usia
Indah Maulida,2024-10-27 17:07:45,"tambah semangat belajarnya, jadi mudah dan paham👍"
Rony Husein,2024-10-27 16:03:40,belajar yg menyenangkan
Zainal Abidin,2024-10-27 15:56:32,seru banget
Hendi Hendi,2024-10-27 15:52:27,good
Nanda Fitria,2024-10-27 15:02:58,aku suka duolingo ini sangat seru
Tita Hidayati,2024-10-27 14:48:21,wah aku seneng banget bisa kursus bahasa apa aja di sini dan di sini aplikasi nya bgus dan ada gratis 😁. terus aku jadi lumayan apal baha inggris makasih ya 😊 udah ngebingbing aku .❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️☺️☺️☺️☺️☺️🤣🤣🤣🤣🤣
Sulastri,2024-10-27 14:39:09,bagus banget
Sovia Putri official,2024-10-27 14:38:45,sudah bagus tapi sangat disayangkan LGBT sudah masuk kesini
Irfan Maulana,2024-10-27 14:27:16,keren
Angga Dwidya Agusetya,2024-10-27 14:14:56,Saya suka sekali dg aplikasi ini... Tp mohon maaf di sesi percakapan ternyata ada terselip percintaan sesama jenis... Mohon maaf saya sangat kecewa dengan hal ini... Ini merujuk kepada LGBT terselubung.... Maafkan saya uninstal ya kamu.... Kalo sudah di rubah kabari saya😑
nicha,2024-10-27 14:06:19,sulit banget sekarang harus bayar jadi level nya ga kebuka :)
Alya Aqilla,2024-10-27 14:01:08,bagus banget. bisa belajar banyak bahasa juga
Murti Ningsih,2024-10-27 14:00:48,suka
Nuansa Cell,2024-10-27 13:56:11,banyak iklan duolingo nya bukan iklan produk😔🙏🏻
Muchammad Arka Manggala,2024-10-27 13:55:36,"Spend a year and half with this, and I can say this is not a good app for learning new language. It's more like a game rather than an educational apps."
zill bandung,2024-10-27 13:51:49,"Duolingo membuat ilmu bahasa Inggris aku lebih baik loh!!, aku seneng bgt aku udah lebih bisa dari sebelum nya."
Fathan Khumaidi Akbar,2024-10-27 13:51:29,Aku sangat menyukai aplikasi ini aku mahir dalam bebahasa asing terimakasih duolingo👍
Roni Renr,2024-10-27 13:39:58,aplikasinya bagus untuk belajar bahasa Inggris bagi yang pemula
Muhammad Zaky,2024-10-27 13:39:13,"bagus,keren,hebat,dan cocok untuk belajar👍👍👍"
Kurnia Sikor,2024-10-27 13:30:14,bagus... bru coba jadi 4 dulu bintangnya
Aileen natania,2024-10-27 13:29:01,OMG CHINESE!!! NOW I CAN GO CHINESE!!! TY TY TY YAY!!!!
Rahmat Syamsuddin,2024-10-27 13:24:46,belajar bahasa yang seru untuk anak-anak dan orang yang tua mudah menjalankan aplikasi ini
MOH SYAILENDRA,2024-10-27 13:12:58,sangat mudah dipahaammi⭐⭐⭐⭐⭐⭐⭐⭐
Ucik Erviana,2024-10-27 13:10:24,Sangat membantu
Raffa Ibrahim,2024-10-27 13:04:40,enak buat belajar
Irwan Salmin,2024-10-27 12:58:36,mantap
Andika Dwi Purnama,2024-10-27 12:58:29,good
Adistia,2024-10-27 12:54:04,"ada konsep LGBT di saat ""a big family"" aplikasinya bgus untuk anak anak, tetapi jgn mendukung konsep LGBT di aplikasi ini (emang benar Duolingo adalah aplikasi pendukung LGBT!)"
Reksa Hermawan,2024-10-27 12:51:21,bagus banget agak sulit tapi tau banyak bahasa
DAFFA Zul17,2024-10-27 12:46:39,"ada masalah dengan animasi nya, mereka tidka bergerak, tolong perbaiki itu agak menyeramkan"
Syarifah Syahrbanu,2024-10-27 12:43:27,aku sangat suka dan aku bermain di waktu kosong ku
lasti hoetapea,2024-10-27 12:39:43,berkat aplikasi ini aku bisa bahasa Jepang!
Alfiana Sari,2024-10-27 12:35:58,cool
Muti Kendari,2024-10-27 12:32:23,sangat memuaskan
Kaka Nayaka,2024-10-27 12:24:40,Membantu saya belajar bahasa xina👲
Musyawaroh LC,2024-10-27 12:18:58,"duolingo sangat mambantu saya untuk belajar bahasa inggris, thanks duolingo🥰"
bilal Subkie,2024-10-27 12:17:11,"lumayan susah,tpi ya bagus untuk belajar dan bisa menguasai bahasa lain"
Ytta Ytta,2024-10-27 12:16:07,saya suka
Alya Rifdhani Wafiyya,2024-10-27 12:12:51,"terimakasih duolingo karenamu aku menjadi lebih fasih dalam berbicara bahasa inggris nilaiku mulai semakin meningkat, dan juga pembelajaran yang sangat menyenangkan membuatku tidak akan bosan ketika sedang belajar😁😆💚💯🔥"
Aisyah Putri,2024-10-27 12:10:02,sangat bagus untuk yang mau mulai belajar bahasa
Sinar Ayu,2024-10-27 12:07:26,sangat melatih untuk belajar bahasa Inggris 🥰🥰
Aulia Kirana,2024-10-27 12:04:03,aplikasinya bagusss bangett aku jadi lebih lancar bahasa Inggris
Yohanes Sumaji,2024-10-27 12:00:24,"bagus sekali, sangat bisa membuatku berbahasa inggris dengan cepat dan seru"
Riska Fauziah,2024-10-27 11:56:03,veryyyy G000000DDDDDD !
Aisasa Sah,2024-10-27 11:52:53,lah kenapa ya kok kalo misalnya belajar bahasa jepang GK ada BHS Indonesia nya harus pakek bahasa inggris nya jadi GK ngerti lah
Alfino eka Eka,2024-10-27 11:52:53,bagus untuk belajar bahasa Inggris
Arif Fakhir,2024-10-27 11:51:08,"bagus ,sangat membantu ,"
Sintia Jakarta,2024-10-27 11:48:10,duolingo seru banget!!! gambarnya lucu-lucu terus kata-katanya gampang buat dimengerti pokoknya terimakasih duolingo semangat juga duolingo🤩🤩🤩
Amanda Rizky,2024-10-27 11:44:37,belajar berasa main game🤩🤩
Izil Novel,2024-10-27 11:40:12,"sangat membantu, dan enggak membosankan"
Vicka Syasmahinda,2024-10-27 11:38:36,bagus banget omagaaaa
Nurfalia Imma,2024-10-27 11:32:03,aplikasi yg sangat luar biasa. . berguna sekali bagi pemula yg mau belajar bahasa!!!
Risyam Abdillah,2024-10-27 11:28:47,jauhkan lg*t dariku
Diat Amarullah (Diat),2024-10-27 11:20:05,mantap
Mentari Puspitasari,2024-10-27 11:19:01,aplikasi Duolingo ini membuat saya bersemangat belajar bahasa inggris 👍💯💯🤩🤩🤩🤩🤩dan mudah dipahami kata²nya👍🤩
Agustina Istiningsih,2024-10-27 10:53:57,very good
Umi Syarofah,2024-10-27 10:49:23,Seru coy (\_/) ( • •)
Kelvin Tedja,2024-10-27 10:49:01,the best of the best
Ica,2024-10-27 10:48:32,bagus banget makasih
Ana Rapida,2024-10-27 10:45:44,aplikasi nya seru
Jasonrimaa,2024-10-27 10:35:43,pembelajarannya mudah untuk dipahami
Wahyuni Uni,2024-10-27 09:46:07,"it's good, but aku agak kecewa bc kebanyakan cerita nya 🌈(lgbt) I hope, untuk kedepannya lebih baik menggunakan pasangan straight. stop support lgbt. 🙏🏻"
Arumyyy Mutia,2024-10-27 09:45:02,Bagus sekali
pellung hani,2024-10-27 09:43:38,bagus dan banyak pilihan bahasa dan quis yang bagus untuk seseorang pemula
Varisa Juliana,2024-10-27 09:37:25,good
Samsung Golden,2024-10-27 09:20:44,Zayn if i am Main
Winda Rahma,2024-10-27 09:20:41,ini bagus dan bisa ajarin bahasa Inggris dan aku bisa ngomong bahasa Inggris di roblox
windahbasudara,2024-10-27 09:19:08,"aplikasinya bagus banget si, bisa lebih banyak belajar bahasa inggris. ini juga membantu banget buat memperbaiki kosa kata b ingg, sukaaaa"
dindacom da,2024-10-27 09:15:17,I am disappointed after hearing the news that the Duolingo application supports LGBT. I am very disappointed.
Jheni Caffee,2024-10-27 09:10:57,Test takut di curi bintangnya
Suprapti Rio,2024-10-27 08:46:10,"membantu bgt, apalagi buat pemula yang emang bener-bener mau belajar dari awal"
Gadies Udara,2024-10-27 08:35:27,"So, far it's good. Tapi tetep perlu peningkatan lagi👍👍👍👍👏"
M Roin,2024-10-27 08:32:17,sangat bagus untuk belajar bagi anak anak
Risman Arbi,2024-10-27 08:29:22,seru dan masuk ke otakk
I Nyoman Ardika,2024-10-27 08:27:42,bagus untuk pelajar seperti saya
AQILAIRA CHANNEL,2024-10-27 08:24:47,bisa melatih aku walaupun aku sering bolos itu tetap menyenangkan 😆😆
Maya Fita sari,2024-10-27 08:24:45,lebih bagus dari yang aku duga
Dzakira Aftani sakhi,2024-10-27 08:22:15,bagus jadi bantu aku buat belajar b. Inggris
Amelia Official,2024-10-27 08:20:18,Bagus
Vann,2024-10-27 08:18:13,best apk
Hatimul Asom,2024-10-27 08:09:06,mantap
Fret Tarkuo,2024-10-27 08:03:25,sahabat belajar terbaik ku.
Naufal Dhiyaulhaq,2024-10-27 08:01:37,Bermanfaat
Mahfuzo,2024-10-27 07:53:30,senang sekali belajar bersama duolingo
C 21 Nadhira Aria Syandi,2024-10-27 07:52:42,good but this app support lgbt bjir
Syahdan Pasha,2024-10-27 07:49:49,bagus buat belajar
adnanfikri aulia,2024-10-27 07:49:05,sangat bagus
Fahlevi Putra,2024-10-27 07:47:54,aku sangat senang belajar di dualingoo
Milha Barza,2024-10-27 07:37:12,"Bisa buat belajar bahasa Inggris terutama bagi kalian yang kesulitan atau bahkan gak suka, soalnya disini pelajarannya seru karena berbasis game, gak cuman itu! Sekarang bisa untuk belajar matematika dan musik loh! 🗣️: caranya belajar matematika sama musik gimana kak? 👤: kamu buka Duolingo, terus di pojok kanan atas kan ada logo bendera, kalian klik terus geser ke kiri sampai ketemu kotak + bertuliskan ""kursus"", pilih bahasa apapun, klik logo bendera lagi, nanti ada tulisan math+÷ sama music♪"
Ira Susanti,2024-10-27 07:36:35,"Aplikasinya bagusss, pas juga jawabnya dan aku bisa bahasa Jepang karena aplikasi ini!!, terimakasih Duolingo , wajib didownload sih ini, buruan sekarang juga!!"
Agnes Theresia,2024-10-27 07:34:02,good for learning languages
Nur Nayra,2024-10-27 07:30:59,love it ❤❤
Rian maulanaa,2024-10-27 07:30:55,baguss sekali
ILHAM YUSUF EFENDI,2024-10-27 07:22:05,terimakasih banyak
Jihan Jihan,2024-10-27 07:06:57,sangat bagus cocok untuk pemula!!
syahrul ananda,2024-10-27 07:04:28,sebagai pemula setelah belajar bahasa Inggris di dualingo sedikit demi sedikit saya mengetahui kata perkata bahasa Inggris dengan mudah tanpa biaya
Aku Aku,2024-10-27 06:58:50,bagus sekali belajar menyenangkan
Rifai Yasir,2024-10-27 06:48:03,Thank you for your teaching me to language english duolingo
Ego Galih,2024-10-27 06:47:56,"duolingo sekarang sangat terbatas karena,kita harus premium supaya bisa bebas, dan hatinya juga terbatas, ini yg membuat kita malas belajar duolingo lagi,pdhl gw udh smgt bljar tpi pas hati abis jdi males, krna harus nunggu sangat lama"
Afia Adila,2024-10-27 06:45:11,aplikasi ini sungguh bagus dan seru untuk belajar berbagai bahasa!!
Rina Nur hidaya,2024-10-27 06:45:10,Bagus sekali saya jadi bisa berbicara bahasa inggris yang saya belum ketahui saya suka
Arjuna Bramaska,2024-10-27 06:37:08,nice and easy
Santi yulita Souisa,2024-10-27 06:22:57,sangat membantu belajar basic bahasa lain
Zahra Bety jujuk,2024-10-27 06:22:13,sistem pengajarannya sangat menarik dan membuat saya ketagihan saat belajar bersama duolingo! : D apalagi karakternya yang unik dan menggemaskan!!! ><
Nurul Saqilah,2024-10-27 06:05:54,saya sngt suka belajar menjadi lebih seru
Alvaro,2024-10-27 06:00:29,good
Thoriq Al Husaini,2024-10-27 05:49:46,sangat barguna
aamily mouza,2024-10-27 05:29:29,"good good good very good,,sukakkk"
Nida Alhusna,2024-10-27 05:18:27,aplikasi sangat membantu dan gratis
Dina Dina,2024-10-27 05:16:24,aku suka game ini cuma ada kata alkohol takutnya ada ank kecil yg main game ini tlong perbaiki
maria acc,2024-10-27 05:13:25,my son is a fast lerning very fast with Duolingo
Althaf Tirta Kusuma,2024-10-27 05:03:29,mudah di pahami bermanfaat untuk menambah kosakata baru aplikasi yang berguna sebenarnya
Murniati,2024-10-27 05:02:13,aplikasinya bagus banget jadi menyenangkan belajar disini
Robuzz,2024-10-27 04:59:02,Cash grabbing and buggy pls remove the heart system ITS so annoying pls explain things
dyah sitorini,2024-10-27 04:51:28,"bagus seru ada yg buat ngomong lg bis membantu belajar semakin bisa bahasa luar negri dari Inggris ,Perancis,Afrika, dan lain lain"
Kamila Hafsa,2024-10-27 04:46:34,bagus tap agak sedikit susah sih tapi seru bisa bahasa apa aja gitu bisa buat anak-anak belajar dan pokok nya baguss dan bisa pilih teman bikin AVA sendiri seru
Risa RDania,2024-10-27 04:44:55,semoga rutin belajar di duolingo bisa bikin aku lancar berbahasa inggris 🥲🙏🏻
Lisha Refsya,2024-10-27 04:38:50,keren aplikasinya bagus banget
Emery Valeria Hasya,2024-10-27 04:22:45,ini game yang bisa bantu belajar! seru banget Duolingo ini!
arbar cemetuk,2024-10-27 04:15:33,"sangat membantu untuk sarana belajar bahasa Inggris.. namun kadang ada beberapa kata yang kurang tepat.. contoh : ind : anak perempuan itu makan pagi eng : the girl eats breakfast harusnya kan ""eng : the girl breakfast"" bukan berarti makan pagi harus diartikan sendiri-sendiri... kalau sendiri-sendiri berarti eats morning dong... karena kata breakfast sendiri sudah menjadi makan pagi/sarapan.. mohon maaf jika ada kesalahan untuk penjelasannya.. saya hanya menjelaskan yang saya tahu.. Thanks"
Matelda kudubun,2024-10-27 04:03:16,bagus
Adiba Kanza magfira cantik,2024-10-27 04:02:17,bagus aplikasi nya soal nya bikin aku jadi mengerti bahasa Inggris keren sekali aplikasi nya 🤩
Sarwoko,2024-10-27 04:00:55,keren banget
Wardani,2024-10-27 03:54:12,"saya sangat suka aplikasi ini, sangat berguna untuk pemula yang tidak tau b.ingris pokonya sangat bagus"
anabel123,2024-10-27 03:47:22,sangat bagus untuk pemula atau pelajar yg ingin menambah wawasan tentang bahasa asing
Chika Mirzani,2024-10-27 03:41:22,terlalu lama Loding
Adiba Adiba,2024-10-27 03:38:33,seru belajar di duolingo
Dede Nugroho,2024-10-27 03:36:49,"doa kan saya, saya belajar bahasa Inggris karena ingin mewujudkan impian bekerja sebagai website developer di Australia"
Aldes Abdillah Fauja,2024-10-27 03:33:57,aplikasi yang bermanfaat dan mudah digunakan
Siti A,2024-10-27 03:33:01,Aplikasi nya bagus banget cocok untuk yang ingin keluar negri
Shaqila Elmiera Azzahra,2024-10-27 03:31:28,karna seru banget tambah ada edukasih buat kalian semuah adah banyak bahasa pokoknya seru banget
Sheza Ayudia,2024-10-27 03:30:17,sedikit membantu
anata “Nata_” daisuki,2024-10-27 03:29:54,terimakasih :'
Akbari Family's,2024-10-27 03:29:11,"aplikasinya baguuus bangeet, belajar bahasa asing jadi gampang banget ga perlu les"
zh Cila08,2024-10-27 03:28:12,"Dri yg GK tau apa2 sekarang Alhamdulillah tau😁, aplikasi in sangt membuat 👍👍 sukses slalu DUOLINGO"
Dyahayu Kurnia,2024-10-27 03:26:54,sangat membantu untuk belajar b. Inggris bisa dari pemula hingga pro
AZHAR NABHAN MUDZAKI,2024-10-27 03:26:04,sangat membantu!
M. alfan Nur Najm,2024-10-27 03:25:30,"bagus, tidak ribet"
Fransisca Florensia,2024-10-27 03:24:28,duolingo ini sangat membantu saya untuk belajar bahasa Inggris dulu saya mendapat nilai 0 sekarang menjadi 90
Siti Astila rahma,2024-10-27 03:18:09,bagussssss
IDA YATI,2024-10-27 03:14:03,lumayan seru but sedikit menyesalkan
Alya,2024-10-27 03:09:47,mantap bgt aku jadi bisa bahasa inggris karena Duolingo thanks ya🥺💪🤲
Maria Ulpa,2024-10-27 03:07:34,terimakasih duolingo
Stevan Aritonang,2024-10-27 03:04:09,seru
indah pekalongan,2024-10-27 03:01:22,"bermain sambil belajar, seruu"
Petronela Mun,2024-10-27 02:49:48,sangat puas
Difa Daleru,2024-10-27 02:46:39,sangat bagus
Siti Patimah,2024-10-27 02:46:13,Sukaakkkk
naomi Imtyaz,2024-10-27 02:40:46,bagus banget👍
Adri Bintara,2024-10-27 02:40:34,bagus
Wahyudi Yohanes,2024-10-27 02:38:49,app ny bagus
Yuli rayi,2024-10-27 02:36:51,sangant mendukung edukasi anak
Nesya Sekar,2024-10-27 02:35:05,aplikasi ini membuat aku menjadi lebih pintar bahasa Inggris dulu aku gk terlalu bisa bahasa Inggris tpi setelah aku memakai aplikasi Duolingo aku jdi lebih pintar bahasa Inggris cmn kadang aplikasi ini bikin kesel
Aqila Hilminnisa,2024-10-27 02:30:16,bagus
Meysa Salsabila,2024-10-27 02:25:24,Ini kok suka lemot yah pas mau lanjut ke babak selanjutnya jadia mood belajar
Tada Selamat,2024-10-27 02:24:38,senang sekali belajar bahasa nya
Riana Puas santi,2024-10-27 02:23:59,saya suka belajar bahasa inggris untuk bisa lebih memahami bahasa asing
Olivia Luna,2024-10-27 02:22:02,ini sangat keren
Silviadwi Safitri,2024-10-27 02:20:33,good 👍
Keyla Putri,2024-10-27 02:14:10,bagus aku seminggu menggunakan aplikasi ini aku langsung bisa
Shiraishi Sina Cecilia,2024-10-27 02:08:54,"aplikasi nya bagus, tapi iklan nya kebanyakan"
Aafika Ula,2024-10-27 02:00:13,bagus banget aku jadi paham bahasa Inggris
lajugalo,2024-10-27 01:47:54,sangat membantu untuk belajar bahasa lain anak
Icah Nafisah,2024-10-27 01:42:19,belajar nya seru banget aku yang dulu gak bisa bahasa inggris jadi bisa gara gara duolingo tapi ada kekurangan di duolingo nyawa nya itu dikit banget tapi gak apa apa terimakasih
azkatsabita _09,2024-10-27 01:41:42,sangat asyik
F S,2024-10-27 01:39:29,sangat membantu 🙏🏼❤️‍🔥
Hapsari Yeni,2024-10-27 01:36:53,"thank you duolingo , nilai b.inggris ku 100 dan juga 95♡"
Keiko Korlin,2024-10-27 01:36:46,make me know a lot about the language I'm learning
Dwi Eri Noviana,2024-10-27 01:35:00,sangat bagus aku bisa belajar bahasa luar dengan lancar sekarang
Shescilia Greisa,2024-10-27 01:32:34,bagus banget 🥰
I Nyoman Teka,2024-10-27 01:30:34,sangat bagus untuk belajar
Furqon cintaAllah,2024-10-27 01:27:32,"sangat membantu perkembangan seseorang untuk mengasah skills bahasa Inggris serta bahasa lainnya, tampilan yang user friendly juga menambah minat pengguna yang memainkannya"
Naufal Intania,2024-10-27 01:23:39,bagus membuat saya tau bahasa Jepang
Aurelia kallista Tjahaya,2024-10-27 01:22:50,"aku suka aplikasi nya gara gara bisa buat profil, dan fitur lain lainnya juga , bahasa Inggris aku jadi lancar banget"
Rismayanti Imha,2024-10-27 01:19:02,Duolinggonya kok tuli orang udah teriak² sampe suara abis masih gak didengar tapi bagus jadi bintang tiga suara ku udah serek
Ji Han,2024-10-27 01:15:18,seru dan menjadi lebih pintar dalam dalam bahasa Inggris
Alyssa Putri,2024-10-27 01:12:10,"game ini sangat menarik, seru, belajar jadi tidak membosankan, bisa langsung hafal kosakatanya. sangat berguna sekali. ♥♥♥"
Yoanita Manalu,2024-10-27 01:09:28,bagus banget untuk pemula mempelajari bahasa
Lady Sheikhanajwa,2024-10-27 01:06:32,thank you so much for your help now i can speak japanese and Chinese with my friend comfortable thank you so much 😍😍😍💕💕💕WISH YOU THE BEST DUOLINGO 😍🥰
Niyas Frozenfood,2024-10-27 01:03:33,Duolingo sangat berjasa bagiku makasih ya sudah mengajarkan aku🤗
Ansis Berkah,2024-10-27 01:01:05,terima kasih duolingo aku suka banget sama kamu aku biar bisa belajar aku bisa pakai dua linggo banyak sekali kita bisa mempelajari banyak negara bahasa Inggris dan lain-lainnya jadi aku bisa yey
Mbak Anju,2024-10-27 00:59:24,"aplikasi atau game ini sangat bagus untuk anak saya , kan anak saya jadi naik kelas terima kasih Duolingo sudah mempelajari anak saya 🤗"
Susan Bes,2024-10-27 00:58:25,bagus banget buat belajar bahasa👍👍
fikri hisan,2024-10-27 00:55:09,bagus banget
aqilahaela nisa,2024-10-27 00:54:34,SANGAT MEMOTIFASI KITA UNTUK BELAJAR BAHASA INGGRIS
Putri Yulia,2024-10-27 00:52:19,seru banget sambil bermain dan belajar
Kustiara Eka putri,2024-10-27 00:49:07,"aplikasi yang sangat keren, duolingo sangat membantu saya belajar dan penuh tantangan, saya sangat bersemangat"
Putu Sukeartama,2024-10-27 00:47:41,Terimakasih duolingo
Anwar Ghazali,2024-10-27 00:44:28,suka banget belajar inggris menjadi seru dan menarik!
Dadan Asep,2024-10-27 00:44:00,ok
dzakira,2024-10-27 00:42:44,seru dan bermaanfat sangat 👍
Ni ketut Andriani,2024-10-27 00:39:50,aplikasi yang sangat bagus dan membantu untuk belajar bahasa inggris
Ranisa Ginting,2024-10-27 00:38:07,i can improve my skill with Duolingo
Alika Naila,2024-10-27 00:37:13,seru bgt sihh gak bisa berkata kata ini adalah aplikasi terbaik buat belajar bahasa sambil bermain kalau kalian orangnya bosenan
Shofwa Shofi,2024-10-27 00:37:09,sangat cocok untuk belajar
Lailatul Aulia,2024-10-27 00:36:01,saya sangat senang dengan Duolingo saya lebih semangat belajar bersama Duolingo. terimakasih Duolingo!
Majid Afif Prabowo,2024-10-27 00:33:12,good application
olin psrb,2024-10-27 00:32:53,pelajarannya bagus banget bisa bikin aku jadi pintar bahasa Inggris di sekolah
Adsila Najwa,2024-10-27 00:26:47,game ini bisa membikin aku berbicara dengan orang luar. Terima kasih yang telah membikin aplikasi atau game ini karena telah membantu saya mempunyai banyak teman luar
Eca Elis,2024-10-27 00:20:25,aku bener bener suka game ini jadi bisa bahasa inggris
teguh waluyo,2024-10-27 00:20:03,sangat membantu
Ni Komang Novi handayani,2024-10-27 00:17:44,syaa sukaa
denzbeq 903,2024-10-27 00:06:13,Sangat membantu dlm belajar bhs inggris dengan santai
Dayu Yudo,2024-10-27 00:04:16,seru
Lenita Seviani,2024-10-26 23:58:07,haiii semuaa aplikasi ini membantu sekali karna bisa belajar berbagai bahasa dalam 1 aplikasi sajaa. aplikasi ini sangat membantu bagi sayaa karna bisa mengajari sayaa yang belum bisa sama sekali sekiaan trimakasih
Assyarin Zahira,2024-10-26 23:56:15,"duolingo sangat membantu belajar saya, dulu saya tidak tau apa itu duolingo,tapi karena teman saya juga belajar bahasa inggris di duolingo, jadi saya mencoba juga dan begitu seru ,thanks duolingo🥰🥰"
Desi Azmya,2024-10-26 23:54:17,Senang bangett belajar di Duolingo
Kanaya Putri,2024-10-26 23:44:12,seru untuk bermain
Andiikhasalim Ikha,2024-10-26 23:38:16,menye nangkan
Nazma Nur,2024-10-26 23:32:23,bagus aplikasinya 👍
Athifa Athifa,2024-10-26 23:32:03,sangat bermanfaat
Maria Ulfa,2024-10-26 23:27:19,the most cool app to learn a language!
Shopatrey Shopatrey20new,2024-10-26 23:23:24,sistem kalian Dongo kah? atau tuli? jelas jelas aku ngucapin jawaban yang benar. eh malah disalahin.
Nauval aqiil,2024-10-26 23:20:28,tambahin pelajaran lain please sama rank kaya di mobel legenenda hape banting :)
made sudarta,2024-10-26 23:17:13,sangat membantu
Natra Natra_sadgirl,2024-10-26 23:15:55,sangat menyenangkan belajar bahasa di duolingo!✨😭
etika sari,2024-10-26 23:15:30,appnya sangat menarik dan mudah dipahami
Doni Nst,2024-10-26 23:10:25,saya suka Duolingo
Dedi Dores,2024-10-26 23:08:45,bagus
Bilqiz Amira,2024-10-26 23:07:51,So fun dan kita bisa belajar banyak bahasa
